Title,Link,Abstract,Author,BibTex,Year,Journal,SupplementalLink,Tags,
Simple Kinematic Feedback Enhances Autonomous Learning in Bio-Inspired Tendon-Driven Systems,Papers/marjaninejad_arxiv_et_al.pdf,"Error feedback is known to improve performance by correcting control signals in response to perturbations. Here we show how adding simple error feedback can also accelerate and robustify autonomous learning in a tendon-driven robot. We implemented two versions of the General-to-Particular (G2P) autonomous learning algorithm to produce multiple movement tasks using a tendon-driven leg with two joints and three tendons: one with and one without kinematic feedback. As expected, feedback improved performance in simulation and hardware. However, we see these improvements even in the presence of sensory delays of up to 100 ms and when experiencing substantial contact collisions. Importantly, feedback accelerates learning and enhances G2P&#39;s continual refinement of the initial inverse map by providing the system with more relevant data to train on. This allows the system to perform well even after only 60 seconds of initial motor babbling.","Marjaninejad A, Urbina-Meléndez D, Valero-Cuevas FJ","@article{marjaninejad2019simple,
  title={Simple Kinematic Feedback Enhances Autonomous Learning in Bio-Inspired Tendon-Driven Systems},
  author={Marjaninejad, Ali and Urbina-Mel{\'e}ndez, Dar{\'\i}o and Valero-Cuevas, Francisco J},
  journal={arXiv preprint arXiv:1907.04539},
  year={2019}
}",2019,Arxiv,,computation_and_modeling robotics,
Editorial: Neuromechanics and Control of Physical Behavior: From Experimental and Computational Formulations to Bio-inspired Technologies,Papers/sreenivasa_et_al_2019.pdf,"The motivation behind this research topic was to cut across conventional boundaries that separate movement neuroscience, biomechanics, and robotics. The aim was to underscore that brain and body collaborate to produce behavior in biological organisms. While this is a simple idea, compartmentalization in education and science has often artificially separated brain from body. We also bring forward research paradigms to investigate physical behavior at the interface between humans and interacting robots. Understanding human-robot physical interaction requires the understanding of the complex interplay between brain, body, and the external environment. This could be achieved by employing a neuro-mechanical approach to the study of human and robot movement.

Within the context of a neuromechanical approach, we aimed to collate a research corpus that included work on experimental and neurophysiological analysis, computational modeling, and applications in rehabilitation and bio-inspired robotics. The 22 contributions to this research topic provide a wide range of perspectives and methodologies. The high-caliber contributions to this research topic also highlight the existence of a significant community of researchers interested in an interdisciplinary view toward the study of brain-body and human-robot interactions.","Sreenivasa M, Valero-Cuevas FJ, Tresch M, Nakamura Y, Schouten AC, and Sartori M","@article{sreenivasa2019neuromechanics,
  title={Neuromechanics and Control of Physical Behavior: from Experimental and Computational Formulations to Bio-inspired Technologies},
  author={Sreenivasa, Manish and Valero-Cuevas, Francisco J and Tresch, Matthew and Nakamura, Yoshihiko and Schouten, Alfred C and Sartori, Massimo},
  journal={Frontiers in Computational Neuroscience},
  volume={13},
  pages={13},
  year={2019},
  publisher={Frontiers}
}",2019,Frontiers in Computational Neuroscience,,biomechanics computation_and_modeling robotics,
Autonomous functional movements in a tendon-driven limb via limited experience,Papers/marjaninejad_nmi_2019.pdf,"Robots will become ubiquitously useful only when they require just a few attempts to teach themselves to perform different tasks, even with complex bodies and in dynamic environments. Vertebrates use sparse trial and error to learn multiple tasks, despite their intricate tendon-driven anatomies, which are particularly hard to control because they are simultaneously nonlinear, under-determined and over-determined. We demonstrate—in simulation and hardware—how a model-free, open-loop approach allows few-shot autonomous learning to produce effective movements in a three-tendon two-joint limb. We use a short period of motor babbling (to create an initial inverse map) followed by building functional habits by reinforcing high-reward behaviour and refinements of the inverse map in a movement&#39;s neighbourhood. This biologically plausible algorithm, which we call G2P (general to particular), can potentially enable quick, robust and versatile adaptation in robots as well as shed light on the foundations of the enviable functional versatility of organisms.","Marjaninejad A, Urbina-Meléndez D, Cohn BA, and Valero-Cuevas FJ","@article{Marjaninejad2019,
abstract = {Robots will become ubiquitously useful only when they require just a few attempts to teach themselves to perform different tasks, even with complex bodies and in dynamic environments. Vertebrates use sparse trial and error to learn multiple tasks, despite their intricate tendon-driven anatomies, which are particularly hard to control because they are simultaneously nonlinear, under-determined and over-determined. We demonstrate—in simulation and hardware—how a model-free, open-loop approach allows few-shot autonomous learning to produce effective movements in a three-tendon two-joint limb. We use a short period of motor babbling (to create an initial inverse map) followed by building functional habits by reinforcing high-reward behaviour and refinements of the inverse map in a movement&#39;s neighbourhood. This biologically plausible algorithm, which we call G2P (general to particular), can potentially enable quick, robust and versatile adaptation in robots as well as shed light on the foundations of the enviable functional versatility of organisms.},
author = {Marjaninejad, Ali and Urbina-Mel{\&#39;{e}}ndez, Dar{\&#39;{i}}o and Cohn, Brian A and Valero-Cuevas, Francisco J},
doi = {10.1038/s42256-019-0029-0},
issn = {2522-5839},
journal = {Nature Machine Intelligence},
number = {3},
pages = {144--154},
title = {{Autonomous functional movements in a tendon-driven limb via limited experience}},
url = {https://doi.org/10.1038/s42256-019-0029-0},
volume = {1},
year = {2019}
}",2019,Nature Machine Intelligence,https://valerolab.org/g2p/,computation_and_modeling robotics,
Quantifying and attenuating pathologic tremor in virtual reality,Papers/cohn_et_al_vr_tremor_2018.pdf,"We present a virtual reality (VR) experience that creates a research-grade benchmark in assessing patients with active upper-limb tremor, while simultaneously offering the opportunity for patients to engage with VR experiences without their pathologic tremor. Accurate and precise use of handheld motion controllers in VR gaming applications may be limited for patients with upper limb tremor. In parallel, objective tools measuring tremor are not in widespread, routine clinical use. We used a commercially available VR system and designed a challenging virtual-balloon-popping test mimicking a common nose-to-target pointing task used by medical practitioners to subjectively evaluate tremor in the exam room. Within our VR experience, we offer a software mode which uses a low-pass filter to adjust hand position and pointing orientation over a series of past data points. This digital filter creates a smoothing function for hand movement which effectively removes the patient&#39;s tremor in the VR representation. While the patient completes trials of the reaching task, quantitative data on the pathologic tremor is digitally recorded. With speed, accuracy, and the tremor components computed across three axes of movement, patients can be evaluated for their tremor amplitudes in a quantitative, replicable, and enjoyable manner. Removal of tremor in digital space may allow patients having significant upper limb tremor to have both an objective clinical measurement of symptoms while providing patients positive feedback and interaction.","Cohn BA, Shah DD, Marjaninejad A, Shapiro M, Ulkumen SA, Laine CM, Valero-Cuevas FJ, Hayashida KH, Ingersoll SA","@article{cohn2018tremor,
  title={Quantifying and attenuating pathologic tremor in virtual reality},
  author={Cohn, Brian A. and Shah,  Dilan D. and Marjaninejad, Ali and Shapiro, Martin and Ulkumen, Serhan A. and Laine, Christopher M. and Valero-Cuevas, Francisco J. and Hayashida, Kenneth H. and Ingersoll, Sarah},
  journal={Arxiv},
  year={2018},
  publisher={Arxiv}
}",2018,Arxiv,,clinical-research biomechanics,
Feasibility Theory Reconciles and Informs Alternative Approaches to Neuromuscular Control,Papers/cohn_feasibility_theory_2018.pdf,"We present Feasibility Theory, a conceptual and computational framework to unify today&#39;s theories of neuromuscular control. We begin by describing how the musculoskeletal anatomy of the limb, the need to control individual tendons, and the physics of a motor task uniquely specify the family of all valid muscle activations that accomplish it (its &#39;feasible activation space&#39;). For our example of producing static force with a finger driven by seven muscles, computational geometry characterizes—in a complete way—the structure of feasible activation spaces as 3-dimensional polytopes embedded in 7-D. The feasible activation space for a given task is the landscape where all neuromuscular learning, control, and performance must occur. This approach unifies current theories of neuromuscular control because the structure of feasible activation spaces can be separately approximated as either low-dimensional basis functions (synergies), high-dimensional joint probability distributions (Bayesian priors), or fitness landscapes (to optimize cost functions).","Cohn BA, Szedlák M, Gärtner B, Valero-Cuevas FJ","@article{cohn2018feasibility,
  title={Feasibility Theory reconciles and informs alternative approaches to neuromuscular control},
  author={Cohn, Brian Alexander and Szedl{\&#39;a}k, May and G{\&#34;a}rtner, Bernd and Valero-Cuevas, Francisco J},
  journal={Frontiers in Computational Neuroscience},
  volume={12},
  pages={62},
  year={2018},
  publisher={Frontiers}
}",2018,Frontiers in Computational Neuroscience,http://valerolab.org/supplemental_sites/feasibility_theory_frontiers_2018,biomechanics computation_and_modeling,
An Analytical Approach to Posture-Dependent Muscle Force and Muscle Activation Patterns,Papers/marjaninejad_ieee_embc_2018a.pdf,"Personalized training by taking into account individual anatomy to improve performance is a research frontier. In this paper, we first introduce an analytical method to study the pattern of changes in muscle forces as a function of posture. Our method is also able to analyze variation of maximal muscle force and muscle activation values (in various postures) as a result of posture-dependent changes in moment arms. This method also helps us evaluate the utility of person specific training. It also provides us with model based approximations for activation and muscle force patterns during different motions without a need for subject recordings, which enables athletes to have a better understanding of how each muscle contributes during each posture, in a fast and efficient way. Second, we analyze the results of this method for a simple squat move. Our results show that both maximal muscle force and muscle activation values have variable sensitivity to the moment arm values for different postures and muscles. It suggests that individually modified training plans could likely improve performance for some sets of movements.","Marjaninejad A, Berry, JA, and Valero-Cuevas FJ","@inproceedings{marjaninejad2018An,
title={An Analytical Approach to Posture-Dependent Muscle Force and Muscle Activation Patterns},
author={Marjaninejad, Ali and Berry, Jasmine A and Valero-Cuevas, Francisco J},
booktitle={Conference proceedings:... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference},
volume={2018},
pages={},
year={2018}
}",2018,IEEE EMBC 2018 Proceedings,,biomechanics computation_and_modeling,
Model-Free Control of Movement in a Tendon-Driven Limb via a Modified Genetic Algorithm,Papers/marjaninejad_ieee_embc_2018b.pdf,"Tendon-driven systems have many benefits over other actuation strategies such as torque-driven systems; however, their over-determined nature and posture-dependent actuation presents strong constraints on their control. Also, parameters or even exact structure of the model in these systems, especially in the biological ones, are normally not clear to the controller. Here, we propose a modified Genetic Algorithm that provides the tendon excursion values for the limb to follow a desired trajectory. Our results show that the proposed algorithm was able to accurately follow the desired trajectory without the model of the system being exposed to it. We believe that this method can enable biologically inspired tendon-driven mechanisms with variable mechanical structures to autonomously control their movements.","Marjaninejad A, Annigeri RA, and Valero-Cuevas FJ","@inproceedings{marjaninejad2018Model,
title={Model-Free Control of Movement in a Tendon-Driven Limb via a Modified Genetic Algorithm},
author={Marjaninejad, Ali and Annigeri, Rohit A and Valero-Cuevas, Francisco J},
booktitle={Conference proceedings:... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference},
volume={2018},
pages={},
year={2018}
}",2018,IEEE EMBC 2018 Proceedings,https://github.com/marjanin/GA_T,biomechanics computation_and_modeling,
A physical model suggests that hip-localized balance sense in birds improves state estimation in perching: implications for bipedal robots,Papers/urbina2017frontiers.pdf,"In addition to a vestibular system, birds uniquely have a balance-sensing organ within the pelvis, called the lumbosacral organ (LSO). The LSO is well developed in terrestrial birds, possibly to facilitate balance control in perching and terrestrial locomotion. No previous studies have quantified the functional benefits of the LSO for balance. We suggest two main benefits of hip-localized balance sense: reduced sensorimotor delay and improved estimation of foot-ground acceleration. We used system identification to test the hypothesis that hip-localized balance sense improves estimates of foot acceleration compared to a head-localized sense, due to closer proximity to the feet. We built a physical model of a standing guinea fowl perched on a platform, and used 3D accelerometers at the hip and head to replicate balance sense by the LSO and vestibular systems. The horizontal platform was attached to the end effector of a 6 DOF robotic arm, allowing us to apply perturbations to the platform analogous to motions of a compliant branch. We also compared state estimation between models with low and high neck stiffness. Cross-correlations revealed that foot-to-hip sensing delays were shorter than foot-to-head, as expected. We used multi-variable output error state-space (MOESP) system identification to estimate foot-ground acceleration as a function of hip- and head-localized sensing, individually and combined. Hip-localized sensors alone provided the best state estimates, which were not improved when fused with head-localized sensors. However, estimates from head-localized sensors improved with higher neck stiffness. Our findings support the hypothesis that hip-localized balance sense improves the speed and accuracy of foot state estimation compared to head-localized sense. The findings also suggest a role of neck muscles for active sensing for balance control: increased neck stiffness through muscle co-contraction can improve the utility of vestibular signals. Our engineering approach provides, to our knowledge, the first quantitative evidence for functional benefits of the LSO balance sense in birds. The findings support notions of control modularity in birds, with preferential vestibular sense for head stability and gaze, and LSO for body balance control,respectively. The findings also suggest advantages for distributed and active sensing for agile locomotion in compliant bipedal robots.","Urbina-Meléndez D, Jalaleddini J, Daley M and Valero-Cuevas FJ","@Article{urbina2018physical,
title={A physical model suggests that hip-localized balance sense in birds improves state estimation in perching: implications for bipedal robots},
author={Urbina-Mel{&#39;e}ndez, Dar{&#39;\i}o and Jalaleddini, Kian and Daley, Monica and Valero-Cuevas, Francisco J},
journal={Frontiers in Robotics and AI},
volume={5},
pages={38},
year={2018},
publisher={Frontiers}
}",2018,Frontiers in Robotics and AI,,biomechanics robotics,
Should anthropomorphic systems be &#34;redundant&#34;? (In Press),Papers/amfvc_chapter2018.pdf,"We explore the conceptual design and implementation of muscle redundancy and
kinematic redundancy for anthropomorphic robots from three perspectives: (i) The
control of tendon-driven systems, (ii) How the number of muscles define functional
capabilities, and (iii) How too few synergies can be detrimental to functional versatility.
Historically, roboticists prefer either rotational actuators located at each joint (i.e.,
rotational degree-of-freedom, DOF), or few linear actuators (i.e., two dedicated
muscles per joint) for tendon-driven robots. In contrast, biological limbs have
evolved to include too many muscles [1], which are thought to unnecessarily complicate
their anatomy and control. The question, then, is why has evolution converged
on these apparently under-determined (or redundant) solutions? If we really have
extra muscles, then which muscle would you give up? By taking a formal mathematical
approach to the control of tendons—which is the actual problem that confronts
the nervous system—we have proposed a resolution to this apparent paradox
by proposing that vertebrates may have, in fact, barely enough muscles to meet the
numerous physical constraints for ecological functions (as opposed to simple laboratory
tasks) [1, 2]. This approach can be called Feasibility Theory, which describes
how the anatomy of the system, and the constraints defining the task define the set
of feasible actions the system can produce. The role of the (neural or engineered)
controller is then, to find ways to use the mechanical capabilities of the combined
controller-plant system to the fullest [1].
Similarly, the effective mechanical design of a robotic limb, at a minimum, requires controllability (i.e., enough control degrees of freedom, or muscles) to produce arbitrary
forces and movements (i.e., changes of state [3]). Force and movement capabilities
have distinct governing equations and are, in fact, in competition with one
another (e.g., a see-saw demonstrates, as per the Law of Conservation of Energy,
how producing higher forces is associated with lower velocities and vice versa).
Therefore, we explored the potential evolutionary pressures that may have shaped
vertebrate limbs by evaluating how the number of muscles affects the competing
demands to produce endpoint forces and velocities.
A related concept that cuts across biological and robotic systems is the idea that
the kinematics and kinetics of a wide variety of actions exhibit a low-dimensional
structure that can be approximated with a few principal components (sometimes
called descriptive synergies [4, 5]). This has been taken to mean that a few degrees
of freedom suffice to produce versatile behavior in the real world. However, the fine
behavioral details that distinguish different actions are, by definition, not captured
by the commonalities among them. Thus, versatility in the real world likely depends
on recognizing and executing fine distinctions among actions; which implies
that more degrees of freedom of control are critical for true functional versatility.
These three independent arguments support the perspective that creating anthropomorphic
systems requires apparently redundant structures, because only then can
they truly execute a wide variety of real-world tasks. In addition, we also present
an open-access MATLAB toolbox that allows users from different backgrounds to
explore these concepts in detail. We believe this new perspective will improve the
conceptualization, understanding, and design of anthropomorphic systems.","Marjaninejad A, Valero-Cuevas FJ","@incollection{marjaninejad2018should,
title={Should anthropomorphic systems be \&#34;redundant\&#34;},
author={Marjaninejad, Ali and Valero-Cuevas, Francisco J.},
booktitle={Biomechanics of Anthropomorphic Systems, Springer Tracts in Advanced Robotics (STAR) series},
pages={},
year={2018},
publisher={Springer}
}",2018,Biomechanics of Anthropomorphic Systems,,biomechanics,
Physiological tremor increases when skeletal muscle is shortened: implications for fusimotor control.,Papers/Jalaleddini_et_al-2017-The_Journal_of_Physiology.pdf,"The involuntary force fluctuations associated with physiological (as distinct from
pathological) tremor are an unavoidable component of human motor control.While the origins
of physiological tremor are known to depend on muscle afferentation, it is possible that
the mechanical properties of muscle–tendon systems also affect its generation, amplification
and maintenance. In this paper, we investigated the dependence of physiological tremor on
muscle length in healthy individuals. We measured physiological tremor during tonic, isometric
plantarflexion torque at 30% of maximum at three ankle angles. The amplitude of
physiological tremor increased as calf muscles shortened in contrast to the stretch reflex whose
amplitude decreases as muscle shortens. We used a published closed-loop simulation model of
afferentedmuscle to explore the mechanisms responsible for this behaviour.We demonstrate that
changingmuscle lengths does not suffice to explain our experimental findings. Rather, the model
consistently required the modulation of γ-static fusimotor drive to produce increases in physiological
tremor withmuscle shortening – while successfully replicating the concomitant reduction
in stretch reflex amplitude. This need to control γ-static fusimotor drive explicitly as a function of
muscle length has important implications. First, it permits the amplitudes of physiological tremor
and stretch reflex to be decoupled. Second, it postulates neuromechanical interactions that require
length-dependent γ drivemodulation to be independent fromα drive to the parentmuscle. Lastly,
it suggests that physiological tremor can be used as a simple, non-invasivemeasure of the afferent
mechanisms underlying healthy motor function, and their disruption in neurological conditions.

","Jalaleddini K, Nagamori A, Laine CM, Golkar MA, Kearney RE, Valero‐Cuevas FJ.","@Article{jalaleddini2017physiological,
title={Physiological tremor increases when skeletal muscle is shortened: implications for fusimotor control},
author={Jalaleddini, Kian and Nagamori, Akira and Laine, Christopher M and Golkar, Mahsa A and Kearney, Robert E and Valero-Cuevas, Francisco J},
journal={The Journal of physiology},
volume={595},
number={24},
pages={7331--7346},
year={2017},
publisher={Wiley Online Library}
}",2017,Journal of Physiology,,computation_and_modeling,
